:START_ID,predicate,:END_ID,:TYPE,evidence_sentence,source_chunk_id,description
chunk:29951a1e0b242033eb38,NEXT,chunk:6258c766c7db881def51,NEXT,,chunk:29951a1e0b242033eb38,
chunk:29951a1e0b242033eb38,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:29951a1e0b242033eb38,
chunk:6258c766c7db881def51,NEXT,chunk:18dae09a2c438efc9376,NEXT,,chunk:6258c766c7db881def51,
chunk:6258c766c7db881def51,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:6258c766c7db881def51,
chunk:18dae09a2c438efc9376,NEXT,chunk:b4ddfcc21191047c54d2,NEXT,,chunk:18dae09a2c438efc9376,
chunk:18dae09a2c438efc9376,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:18dae09a2c438efc9376,
chunk:b4ddfcc21191047c54d2,NEXT,chunk:0926b55ee4a8e87c82aa,NEXT,,chunk:b4ddfcc21191047c54d2,
chunk:b4ddfcc21191047c54d2,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:b4ddfcc21191047c54d2,
chunk:0926b55ee4a8e87c82aa,NEXT,chunk:5d8a72a686c62a7c96c6,NEXT,,chunk:0926b55ee4a8e87c82aa,
chunk:0926b55ee4a8e87c82aa,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:0926b55ee4a8e87c82aa,
chunk:5d8a72a686c62a7c96c6,NEXT,chunk:bd8d07cd8fbbaa6b9b99,NEXT,,chunk:5d8a72a686c62a7c96c6,
chunk:5d8a72a686c62a7c96c6,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:5d8a72a686c62a7c96c6,
chunk:bd8d07cd8fbbaa6b9b99,NEXT,chunk:bfd130c9a9e637aaef7d,NEXT,,chunk:bd8d07cd8fbbaa6b9b99,
chunk:bd8d07cd8fbbaa6b9b99,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:bd8d07cd8fbbaa6b9b99,
chunk:bfd130c9a9e637aaef7d,NEXT,chunk:14b00a3248c22c47d01c,NEXT,,chunk:bfd130c9a9e637aaef7d,
chunk:bfd130c9a9e637aaef7d,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:bfd130c9a9e637aaef7d,
chunk:14b00a3248c22c47d01c,NEXT,chunk:6c20f188e55b05b1c042,NEXT,,chunk:14b00a3248c22c47d01c,
chunk:14b00a3248c22c47d01c,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:14b00a3248c22c47d01c,
chunk:6c20f188e55b05b1c042,NEXT,chunk:7031bbfbf16c466c774a,NEXT,,chunk:6c20f188e55b05b1c042,
chunk:6c20f188e55b05b1c042,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:6c20f188e55b05b1c042,
chunk:7031bbfbf16c466c774a,NEXT,chunk:198c410a308fa2a83f07,NEXT,,chunk:7031bbfbf16c466c774a,
chunk:7031bbfbf16c466c774a,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:7031bbfbf16c466c774a,
chunk:198c410a308fa2a83f07,NEXT,chunk:4d825ee352bd291cd403,NEXT,,chunk:198c410a308fa2a83f07,
chunk:198c410a308fa2a83f07,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:198c410a308fa2a83f07,
chunk:4d825ee352bd291cd403,NEXT,chunk:5a57c2bb29601ac279de,NEXT,,chunk:4d825ee352bd291cd403,
chunk:4d825ee352bd291cd403,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:4d825ee352bd291cd403,
chunk:5a57c2bb29601ac279de,NEXT,chunk:c34b7427e2d850562b89,NEXT,,chunk:5a57c2bb29601ac279de,
chunk:5a57c2bb29601ac279de,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:5a57c2bb29601ac279de,
chunk:c34b7427e2d850562b89,NEXT,chunk:5bdbe1114f1cbf653795,NEXT,,chunk:c34b7427e2d850562b89,
chunk:c34b7427e2d850562b89,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:c34b7427e2d850562b89,
chunk:5bdbe1114f1cbf653795,NEXT,chunk:4d3add0584599c422f6f,NEXT,,chunk:5bdbe1114f1cbf653795,
chunk:5bdbe1114f1cbf653795,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:5bdbe1114f1cbf653795,
chunk:4d3add0584599c422f6f,NEXT,chunk:568d9bfc31c0956ac9c0,NEXT,,chunk:4d3add0584599c422f6f,
chunk:4d3add0584599c422f6f,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:4d3add0584599c422f6f,
chunk:568d9bfc31c0956ac9c0,NEXT,chunk:8cbf06d3bb1fa04c69ae,NEXT,,chunk:568d9bfc31c0956ac9c0,
chunk:568d9bfc31c0956ac9c0,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:568d9bfc31c0956ac9c0,
chunk:8cbf06d3bb1fa04c69ae,NEXT,chunk:728994e36825ad2bf6c8,NEXT,,chunk:8cbf06d3bb1fa04c69ae,
chunk:8cbf06d3bb1fa04c69ae,PART_OF,document:056ddacd59f4359a5edd,PART_OF,,chunk:8cbf06d3bb1fa04c69ae,
